,gold,dollar_index,vix,fed_rate,fed_balance,labor_claims,ip,ppi,target_gold
2006-01-31,568.95001,99.4311,0.007559862133628498,0.0429,828901.0,295750.0,98.0452,163.0,561.75
2006-02-28,561.75,99.7695,0.007841502933364766,0.0449,840555.0,290750.0,98.1999,164.3,583.65002
2006-03-31,583.65002,100.56,0.007366472801489982,0.045899999999999996,833675.0,301750.0,98.2413,161.8,654.5
2006-04-30,654.5,98.1412,0.007479916920852606,0.0479,844572.0,303600.0,98.4628,162.2,643.70001
2006-05-31,643.70001,97.7705,0.009100179405945348,0.049400000000000006,851580.0,332750.0,98.7618,164.3,613.09998
2006-06-30,613.09998,98.2483,0.010657739128694277,0.0499,844436.0,305500.0,98.7869,165.8,634.58002
2006-07-31,634.58002,97.9996,0.009586198939647518,0.0524,841552.0,318800.0,99.0997,166.1,626.90002
2006-08-31,626.90002,97.644,0.008410805073652433,0.0525,850925.0,314250.0,99.0489,166.8,598.29999
2006-09-30,598.29999,98.1054,0.0076687791686356295,0.0525,849971.0,316200.0,99.4836,167.9,606.59998
2006-10-31,606.59998,97.3901,0.007122339622448118,0.0525,852648.0,315500.0,99.3183,165.4,648.29999
2006-11-30,648.29999,96.5779,0.006795056749228765,0.0525,856671.0,326250.0,99.2044,162.2,636.79999
2006-12-31,636.79999,97.0312,0.006918849658696687,0.0524,869988.0,324000.0,99.1627,164.6,653.20001
2007-01-31,653.20001,97.964,0.006960024049355421,0.0525,865730.0,317250.0,100.1735,165.6,669.95001
2007-02-28,669.95001,97.2386,0.006991397839488179,0.0526,877409.0,322750.0,99.8346,164.0,663.59998
2007-03-31,663.59998,96.3183,0.009551620371698334,0.0526,869803.0,309400.0,100.7753,166.8,678.25
2007-04-30,678.25,94.8365,0.008155933378291966,0.0525,879686.0,320250.0,100.9547,169.3,660.95001
2007-05-31,660.95001,94.3215,0.008377938597738587,0.0525,876986.0,304250.0,101.6334,171.4,649.65002
2007-06-30,649.65002,94.1393,0.009416114926793366,0.0525,865105.0,315200.0,101.7306,173.3,663.5
2007-07-31,663.5,93.4264,0.01081379264217157,0.0526,863890.0,313250.0,101.7893,173.8,673.0
2007-08-31,673.0,93.6674,0.01576495294667472,0.050199999999999995,872873.0,320000.0,101.6672,175.1,744.09998
2007-09-30,744.09998,90.9446,0.01402122206706563,0.049400000000000006,889900.0,313400.0,101.863,172.4,796.20001
2007-10-31,796.20001,89.1389,0.012041729000234553,0.047599999999999996,883385.0,328250.0,102.0894,173.5,782.90002
2007-11-30,782.90002,89.6212,0.016151395476538998,0.0449,879417.0,336000.0,101.8015,174.7,833.59998
2007-12-31,833.59998,89.6304,0.013547326611145015,0.0424,890662.0,348200.0,102.3446,179.0,925.62
2008-01-31,925.62,88.6547,0.016209198146110205,0.0394,900264.0,338750.0,102.3803,178.6,972.47998
2008-02-29,972.47998,87.1654,0.016022693937551475,0.0298,893825.0,346750.0,102.2448,181.0,915.70001
2008-03-31,915.70001,86.6881,0.017059096520287094,0.026099999999999998,893965.0,363400.0,101.8438,182.7,870.95001
2008-04-30,870.95001,86.8907,0.013583241417130089,0.022799999999999997,888131.0,359500.0,101.5336,187.9,886.90002
2008-05-31,886.90002,86.5504,0.011565712874082352,0.0198,904054.0,366800.0,100.8785,190.9,925.09998
2008-06-30,925.09998,86.7621,0.013928290802193998,0.02,892713.0,383250.0,100.2674,196.6,913.84998
2008-07-31,913.84998,86.8567,0.01533412822490406,0.0201,918625.0,398000.0,100.0335,200.5,830.79999
